start,end,duration_hours,min_price,coin,issuer,reserve_type
2018-12-28 21:00:00,2018-12-29 13:00:00,17.0,0.9883082050284789,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2019-02-24 15:00:00,2019-02-24 16:00:00,2.0,0.9800737294380777,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2019-03-16 02:00:00,2019-03-16 03:00:00,2.0,0.9847014624023815,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2019-04-03 22:00:00,2019-04-03 23:00:00,2.0,0.9820489509450931,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2019-07-08 06:00:00,2019-07-08 07:00:00,2.0,0.9857516205799377,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2019-10-23 13:00:00,2019-10-23 14:00:00,2.0,0.9687276701449367,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2020-03-13 20:00:00,2020-03-13 22:00:00,3.0,0.982508960420081,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2020-03-21 10:00:00,2020-03-21 11:00:00,2.0,0.9861723087901004,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2021-01-04 21:00:00,2021-01-05 02:00:00,6.0,0.9608414964819894,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2021-05-12 04:00:00,2021-05-12 08:00:00,5.0,0.9795211502545911,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2021-12-28 16:00:00,2021-12-28 17:00:00,2.0,0.9883022837602418,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2022-01-05 20:00:00,2022-01-05 22:00:00,3.0,0.9827985109361349,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2023-03-11 14:00:00,2023-03-11 15:00:00,2.0,0.987502,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2024-01-09 21:00:00,2024-01-09 22:00:00,2.0,0.975028,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2024-01-15 19:00:00,2024-02-29 03:00:00,1065.0,0.947435,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2025-06-13 05:00:00,2025-06-13 07:00:00,3.0,0.988559,TUSD,Archblock / Techteryx,Real-Time Attested Fiat
2018-10-10 12:00:00,2018-10-10 19:00:00,8.0,0.9787354207580516,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2019-01-06 13:00:00,2019-01-13 14:00:00,170.0,0.9794251240003056,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2019-01-21 22:00:00,2019-01-21 23:00:00,2.0,0.9891906030617059,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2019-04-03 08:00:00,2019-04-03 23:00:00,16.0,0.9834206584780671,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2019-04-09 02:00:00,2019-04-09 05:00:00,4.0,0.9877584593359049,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2020-03-29 20:00:00,2020-03-29 21:00:00,2.0,0.986673670747707,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2022-11-13 13:00:00,2022-11-14 02:00:00,14.0,0.976308,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-01-13 02:00:00,2023-01-13 09:00:00,8.0,0.986688,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-01-14 10:00:00,2023-01-15 04:00:00,19.0,0.986159,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-01-31 04:00:00,2023-01-31 05:00:00,2.0,0.984699,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-02-18 13:00:00,2023-02-18 14:00:00,2.0,0.989459,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-02-21 12:00:00,2023-02-21 13:00:00,2.0,0.989168,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-03-08 19:00:00,2023-03-09 02:00:00,8.0,0.984546,PAX,Paxos Trust Company,NYDFS Regulated Fiat
2023-03-11 01:00:00,2023-03-13 08:00:00,56.0,0.939363,PAX,Paxos Trust Company,NYDFS Regulated Fiat
