,importance
real_vol,0.2431788653915837
BTC_real_vol,0.177693687114649
vol_pc_7d,0.131662496494464
BTC_pc_7d,0.12313776962846781
dev_5d,0.118757262453403
vol_pc_30d,0.07340566994898323
pc_7d,0.0378482956654603
pc_24h,0.02443527806034227
dev_30d,0.019318543761763125
vol_pc_24h,0.0190654279191974
pc_30d,0.015151457829789383
BTC_pc_24h,0.011306171638131846
ETH_pc_24h,0.005039074093764967
