coin,timestamp,price,volume
UST,2022-04-01 00:00:00+00:00,0.9998,5705731.5214
UST,2022-04-01 01:00:00+00:00,0.9996,3244175.8405
UST,2022-04-01 02:00:00+00:00,0.9998,21037819.6699
UST,2022-04-01 03:00:00+00:00,0.9998,9584178.5187
UST,2022-04-01 04:00:00+00:00,0.9999,11933714.6354
UST,2022-04-01 05:00:00+00:00,0.9999,3364808.2694
UST,2022-04-01 06:00:00+00:00,0.9999,4838735.1685
UST,2022-04-01 07:00:00+00:00,0.9999,1730362.2463
UST,2022-04-01 08:00:00+00:00,0.9998,12188477.598
UST,2022-04-01 09:00:00+00:00,0.9998,4620473.4701
UST,2022-04-01 10:00:00+00:00,0.9998,4885598.5226
UST,2022-04-01 11:00:00+00:00,0.9999,1221389.7624
UST,2022-04-01 12:00:00+00:00,1.0,5947224.1606
UST,2022-04-01 13:00:00+00:00,1.0001,11431203.3352
UST,2022-04-01 14:00:00+00:00,1.0,19735532.3818
UST,2022-04-01 15:00:00+00:00,1.0001,25420618.8906
UST,2022-04-01 16:00:00+00:00,1.0001,3371630.1012
UST,2022-04-01 17:00:00+00:00,1.0,2971533.1669
UST,2022-04-01 18:00:00+00:00,1.0,3721890.618
UST,2022-04-01 19:00:00+00:00,1.0,2271426.3654
UST,2022-04-01 20:00:00+00:00,1.0001,9794895.4651
UST,2022-04-01 21:00:00+00:00,1.0001,6871643.1965
UST,2022-04-01 22:00:00+00:00,1.0,6399111.9979
UST,2022-04-01 23:00:00+00:00,1.0002,8948635.2273
UST,2022-04-02 00:00:00+00:00,1.0002,3318211.1884
UST,2022-04-02 01:00:00+00:00,1.0001,5700308.9769
UST,2022-04-02 02:00:00+00:00,1.0001,13508904.1118
UST,2022-04-02 03:00:00+00:00,1.0001,10950336.3573
UST,2022-04-02 04:00:00+00:00,1.0001,4889975.6953
UST,2022-04-02 05:00:00+00:00,1.0002,2508696.7745
UST,2022-04-02 06:00:00+00:00,1.0,4713075.9029
UST,2022-04-02 07:00:00+00:00,1.0001,3610889.8013
UST,2022-04-02 08:00:00+00:00,1.0001,5577115.4784
UST,2022-04-02 09:00:00+00:00,1.0,7803691.3267
UST,2022-04-02 10:00:00+00:00,1.0001,15347658.6369
UST,2022-04-02 11:00:00+00:00,1.0002,3776811.4288
UST,2022-04-02 12:00:00+00:00,1.0002,5715588.9277
UST,2022-04-02 13:00:00+00:00,1.0002,3246044.5598
UST,2022-04-02 14:00:00+00:00,1.0001,2119290.7615
UST,2022-04-02 15:00:00+00:00,1.0002,5574778.5637
UST,2022-04-02 16:00:00+00:00,1.0002,9590762.878
UST,2022-04-02 17:00:00+00:00,1.0002,3268275.007
UST,2022-04-02 18:00:00+00:00,1.0003,9392494.6328
UST,2022-04-02 19:00:00+00:00,1.0002,1027766.8165
UST,2022-04-02 20:00:00+00:00,1.0001,7596299.3442
UST,2022-04-02 21:00:00+00:00,1.0002,1821481.3551
UST,2022-04-02 22:00:00+00:00,1.0,14647811.8143
UST,2022-04-02 23:00:00+00:00,1.0001,4529761.5545
UST,2022-04-03 00:00:00+00:00,1.0001,1548941.7213
UST,2022-04-03 01:00:00+00:00,1.0001,2064934.413
UST,2022-04-03 02:00:00+00:00,1.0001,2585217.3354
UST,2022-04-03 03:00:00+00:00,1.0001,2607354.0127
UST,2022-04-03 04:00:00+00:00,1.0001,2310213.1751
UST,2022-04-03 05:00:00+00:00,1.0001,3628967.2144
UST,2022-04-03 06:00:00+00:00,1.0002,4134751.5788
UST,2022-04-03 07:00:00+00:00,1.0001,5167596.8872
UST,2022-04-03 08:00:00+00:00,1.0002,8876008.2467
UST,2022-04-03 09:00:00+00:00,1.0,4908818.2769
UST,2022-04-03 10:00:00+00:00,1.0001,1773422.7885
UST,2022-04-03 11:00:00+00:00,1.0001,11582102.9848
UST,2022-04-03 12:00:00+00:00,1.0,1911260.1184
UST,2022-04-03 13:00:00+00:00,1.0,3266065.4232
UST,2022-04-03 14:00:00+00:00,1.0001,3158745.8467
UST,2022-04-03 15:00:00+00:00,1.0,4002371.4378
UST,2022-04-03 16:00:00+00:00,1.0,1324891.9515
UST,2022-04-03 17:00:00+00:00,1.0,1863435.8383
UST,2022-04-03 18:00:00+00:00,1.0,3294360.1183
UST,2022-04-03 19:00:00+00:00,1.0001,2473533.7875
UST,2022-04-03 20:00:00+00:00,1.0001,1019865.8757
UST,2022-04-03 21:00:00+00:00,1.0001,2805452.324
UST,2022-04-03 22:00:00+00:00,1.0001,2893993.4485
UST,2022-04-03 23:00:00+00:00,1.0001,5004576.1501
UST,2022-04-04 00:00:00+00:00,1.0,6611635.0849
UST,2022-04-04 01:00:00+00:00,1.0,2135638.1749
UST,2022-04-04 02:00:00+00:00,1.0001,3967734.4686
UST,2022-04-04 03:00:00+00:00,1.0001,1599943.8012
UST,2022-04-04 04:00:00+00:00,0.9999,2316338.291
UST,2022-04-04 05:00:00+00:00,1.0,1468137.8718
UST,2022-04-04 06:00:00+00:00,0.9999,1229222.3254
UST,2022-04-04 07:00:00+00:00,0.9999,2703960.1923
UST,2022-04-04 08:00:00+00:00,1.0,4113377.841
UST,2022-04-04 09:00:00+00:00,1.0001,4374440.1692
UST,2022-04-04 10:00:00+00:00,1.0001,1904307.1243
UST,2022-04-04 11:00:00+00:00,0.9999,9081343.5769
UST,2022-04-04 12:00:00+00:00,0.9998,15378585.405
UST,2022-04-04 13:00:00+00:00,0.9999,14819666.2365
UST,2022-04-04 14:00:00+00:00,1.0,6350621.4138
UST,2022-04-04 15:00:00+00:00,0.9998,8488951.879
UST,2022-04-04 16:00:00+00:00,1.0001,4555268.645
UST,2022-04-04 17:00:00+00:00,1.0,7348577.0717
UST,2022-04-04 18:00:00+00:00,1.0001,4563726.5592
UST,2022-04-04 19:00:00+00:00,1.0,7681590.8776
